participants,item,genre_grammatical,score_miserky,description,stereotype,numero_item,question,score,RT,genre_gram_le
1542048894 669a44098a55d07d0a23ce04e598cf91,pédiatre,le,0.51,neutre_le,neutre,31,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,manucure,le,0.9,feminin_le,feminin,15,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,pilote,le,0.24,masculin_le,masculin,32,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,photographe,le,0.45,neutre_le,neutre,19,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,babysitter,le,0.9,feminin_le,feminin,33,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,clown,le,0.18,masculin_le,masculin,20,1.,NA,NA,ale
1542048894 669a44098a55d07d0a23ce04e598cf91,chimiste,la,0.3,masculin_la,masculin,23,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,zoologiste,la,0.48,neutre_la,neutre,16,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,logopédiste,la,0.66,feminin_la,feminin,24,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,métallurgiste,la,0.21,masculin_la,masculin,35,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,vétérinaire,la,0.49,neutre_la,neutre,34,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,réceptionniste,la,0.74,feminin_la,feminin,6,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,paysagiste,la,0.28,masculin_la,masculin,17,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,graphiste,la,0.43,neutre_la,neutre,4,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,fleuriste,la,0.81,feminin_la,feminin,18,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,neurologue,la,0.32,masculin_la,masculin,11,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,gynécologue,la,0.55,neutre_la,neutre,10,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,dactylo,la,0.65,feminin_la,feminin,30,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,ministre,la,0.25,masculin_la,masculin,5,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,biologiste,la,0.48,neutre_la,neutre,22,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,nutritionniste,la,0.74,feminin_la,feminin,12,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,taxidermiste,la,0.3,masculin_la,masculin,29,1.,NA,NA,la
1542048894 669a44098a55d07d0a23ce04e598cf91,sténographe,la,0.5,neutre_la,neutre,28,1.,NA,NA,la
